unique_id,service_request_id,service_category,service_type
3a8ba588-7232-4b89-adef-6060fc37375d,1,Category 2,Managed Internal Broadband Services
6825e59c-7d2b-47d3-90a9-77be3c67f4b0,1,Category 2,Managed Internal Broadband Services
bdece8cb-e333-4d68-88fa-ada7b7e3f0f5,2,Category 2,Basic Maintenance of Internal Connections
92ec0677-c0b0-417e-ad55-66a50f578fbb,1,Category 2,Managed Internal Broadband Services
8afbe2d1-4d21-4e1e-9f57-f4fa87e0bf0f,1,Category 1,Data Transmission and/or Internet Access
710fd36a-e8e7-4563-a858-48ea70bd1f2a,1,Category 1,Data Transmission and/or Internet Access
2d6799e8-9cd2-42a7-badd-2136c32aec46,1,Category 2,Internal Connections
66890bea-405d-4770-94af-953cfa5d964e,2,Category 2,Basic Maintenance of Internal Connections
e3cc230a-e7a8-4408-bf88-b85beb92206b,2,Category 2,Internal Connections
f8fd23bb-8b85-452d-b62a-53252a0daa68,3,Category 2,Internal Connections
8a488345-e88f-4d93-b59f-427e135190df,1,Category 2,Basic Maintenance of Internal Connections
04b85764-cc9b-4a66-b62f-7aaf8a62cdf5,1,Category 2,Basic Maintenance of Internal Connections
edd730b3-668f-44f4-b409-e3b6da0b0196,1,Category 2,Basic Maintenance of Internal Connections
561b5b46-7721-4873-b025-d92a3f9a94e4,2,Category 2,Basic Maintenance of Internal Connections
eb0f75de-966d-4f4e-9b48-50ae7fb3b63c,2,Category 2,Basic Maintenance of Internal Connections
8f24c3c1-fd58-4fba-b396-e4527f2d55e6,3,Category 2,Basic Maintenance of Internal Connections
2bc433ac-8199-4b6d-b6aa-c9007eb847e3,3,Category 2,Basic Maintenance of Internal Connections
7d56b84c-2cb6-4614-8f61-746d140b977d,3,Category 2,Basic Maintenance of Internal Connections
f530925d-8042-48e7-9301-7641f6eefed2,2,Category 2,Internal Connections
036b506f-cfcc-4f7d-a3f6-a8d9907f1a21,3,Category 2,Basic Maintenance of Internal Connections
51d5977f-7154-47ae-aced-646385bb82fd,4,Category 2,Basic Maintenance of Internal Connections
22c4d8e6-9ff5-465f-9126-bb6ce4b8dd6d,4,Category 2,Basic Maintenance of Internal Connections
9ddaefd3-847f-4a38-9954-2e281e7f4af4,4,Category 2,Basic Maintenance of Internal Connections
154fadd6-762b-42d6-9b83-0376f382e62f,4,Category 2,Basic Maintenance of Internal Connections
4ebd5eeb-cdc0-434e-8e49-79a610bd5619,3,Category 2,Internal Connections
5455771b-709c-4636-afb8-c95809739c6c,5,Category 2,Basic Maintenance of Internal Connections
51ec9577-050e-47bf-b46d-9b1654c7bdd2,5,Category 2,Basic Maintenance of Internal Connections
4365df8f-9893-4d14-91a8-690d9d1093e5,5,Category 2,Basic Maintenance of Internal Connections
876a541a-c741-4e4a-bc96-2bca23a1eea7,5,Category 2,Basic Maintenance of Internal Connections
06a22dec-a9e3-4832-b2ca-8a1b5033690b,6,Category 2,Basic Maintenance of Internal Connections
d21a52c4-40c6-467c-8fe2-cf92277fbdc2,5,Category 2,Basic Maintenance of Internal Connections
d234d364-ae29-43bb-a5b5-97d511da499a,6,Category 2,Basic Maintenance of Internal Connections
75f45ca8-d734-4fde-bbcc-977ad7d80a4f,6,Category 2,Basic Maintenance of Internal Connections
ff4fee96-759d-4f7d-b5e7-11bcfc058757,6,Category 2,Basic Maintenance of Internal Connections
954210bd-1294-462d-a8c6-ebeca1b3dc4c,7,Category 2,Basic Maintenance of Internal Connections
7d793308-8b36-41d4-9d7b-f4e2d4923d21,7,Category 2,Basic Maintenance of Internal Connections
154ff2fd-fedb-4780-ae04-dfdf21a7b57e,6,Category 2,Basic Maintenance of Internal Connections
c577eedb-b67c-4c46-a235-d65e5269e9ae,7,Category 2,Basic Maintenance of Internal Connections
bd9e6e72-22df-4629-96bd-9a6e4ebd2a03,7,Category 2,Basic Maintenance of Internal Connections
f12dfb65-5952-42a6-babe-37f3e54c7d37,8,Category 2,Managed Internal Broadband Services
a4f9406c-5e18-411a-84d1-baa346eda23f,8,Category 2,Managed Internal Broadband Services
b6f9fcc4-d2a9-4a9c-9220-e43246139b12,8,Category 2,Managed Internal Broadband Services
8fb6ac8d-2a01-4fec-a6cc-a38f05f56787,7,Category 2,Basic Maintenance of Internal Connections
4d2444bc-ec48-453c-bc37-42801c63b6db,8,Category 2,Managed Internal Broadband Services
d252b189-4fea-4a70-8128-4575e8ad3fbc,1,Category 1,Data Transmission and/or Internet Access
120a4fa4-103a-4114-9940-713c54f56165,2,Category 1,Data Transmission and/or Internet Access
131f8d6a-faec-445a-b917-88949fbb381f,3,Category 1,Data Transmission and/or Internet Access
5089030d-3fa4-487e-b562-4d44735410cd,,,
205be4e2-9870-46a5-9152-b0b3060e2a97,4,Category 2,Basic Maintenance of Internal Connections
6bba5ec5-b467-4252-8aba-a3308264fe55,5,Category 2,Internal Connections
