unique_id,service_request_id,service_category,service_type
776542ac-f054-4b62-bf3a-9c268b92a4ba,5,Category 2,Internal Connections
c7e783bc-5599-4620-b5db-77334e7d8228,1,Category 1,Data Transmission and/or Internet Access
efa10ea5-2e1b-4f86-a436-6307e3c59c90,1,Category 2,Basic Maintenance of Internal Connections
54c0fedf-b86b-4c72-a2a6-d5b113f19d59,1,Category 2,Basic Maintenance of Internal Connections
748bc87b-2b6f-47f7-a24a-2b84003e9ebf,1,Category 1,Data Transmission and/or Internet Access
a55c384e-a182-47b1-ada3-7edefada8d76,,,
77b0ea68-df6e-4d55-89fb-37c8bb87aec5,1,Category 2,Internal Connections
2148b60d-eb5c-478b-b7c3-92299059ac00,1,Category 1,Data Transmission and/or Internet Access
8b36bb6e-9d22-4552-ae4c-c47dcf675f00,2,Category 2,Internal Connections
cd5bf20c-c786-4698-b3f5-03e5461be09e,1,Category 2,Internal Connections
b0f916d5-59ce-4168-956b-9499db104cd5,1,Category 2,Internal Connections
537b2994-5f50-4c90-803d-60d2cc5376bd,1,Category 2,Internal Connections
d50f9f2a-94ab-432e-9c50-9c23566b1774,5,Category 2,Internal Connections
ec7447ce-d77d-460e-80f0-0d85b9288408,1,Category 1,Data Transmission and/or Internet Access
12d1bc32-5fe8-4805-bc86-33ea5cea46c0,1,Category 2,Internal Connections
b0422d6b-a253-4b4e-bad9-921d2222f250,1,Category 2,Internal Connections
b558797f-055c-46b8-a0b6-c14f2e980884,1,Category 2,Managed Internal Broadband Services
7cc42f45-6a15-4adf-9a68-3d1dcfaa629f,1,Category 1,Data Transmission and/or Internet Access
0febd142-a901-4a88-8ba4-363e93b47baf,1,Category 2,Internal Connections
018d2c35-84c6-4115-bffb-b8facac75ecf,4,Category 2,Basic Maintenance of Internal Connections
dd381bec-42d5-4a59-b9e5-afac3bac4f59,1,Category 2,Internal Connections
68eafcd0-31e3-4d39-a3ed-07ca5334be4b,1,Category 1,Data Transmission and/or Internet Access
938f3d53-a44a-4590-a47d-2769aa509d08,1,Category 2,Internal Connections
8f498c68-78ef-4894-b28f-d80c7a636270,1,Category 1,Data Transmission and/or Internet Access
347f527a-dc45-439f-bc49-a0715a8e34e3,3,Category 2,Internal Connections
7fd38c2e-3615-4c7c-b9d4-5ab47fbb5240,1,Category 2,Basic Maintenance of Internal Connections
4a1c58d2-01d7-4837-a980-388afbbff532,1,Category 1,Data Transmission and/or Internet Access
81e199e0-190d-44b3-932c-d6608850605a,1,Category 2,Internal Connections
8dcbe6fd-32f1-460f-8d20-4b38bb572160,1,Category 1,Data Transmission and/or Internet Access
8b5fc48f-4415-4a8a-a476-b35cd1d8ef03,1,Category 1,Data Transmission and/or Internet Access
64fd29a8-8444-465f-bf86-43a85cd914f1,1,Category 2,Internal Connections
1d3c0adf-2a5b-40e5-95fb-2a53cfddd524,1,Category 1,Data Transmission and/or Internet Access
1a82b2e2-dcd8-418b-b354-7350ee947820,1,Category 2,Internal Connections
31efb50f-8307-4067-a86b-449d1ec1fec9,,,
c9457cb9-8122-43a3-a800-a864fcc07268,1,Category 2,Internal Connections
9faeca2e-4f3d-4c2e-958a-6af47ad2e4b4,1,Category 2,Internal Connections
2bc1c654-4dc6-4ab6-9e09-75783df7ed04,1,Category 2,Internal Connections
c42e1a6d-7b41-4dee-b378-97f2cfe40a5d,1,Category 1,Data Transmission and/or Internet Access
0a9930ad-31b1-47ec-b7f2-efcd87448123,1,Category 2,Internal Connections
a54bc88f-6541-46bc-af89-5db58989f26c,1,Category 2,Internal Connections
fcd932b9-ccb4-4ae2-a172-af7d9f757987,9,Category 2,Internal Connections
d5f98d83-7ec4-47cd-9f0a-fa886fc3b5ab,1,Category 1,Data Transmission and/or Internet Access
8de02f6c-901a-498a-aca0-d99be8bfa318,4,Category 2,Internal Connections
29990638-4f08-4206-8c02-eb5769f42b43,1,Category 1,Data Transmission and/or Internet Access
b26af96f-ec94-4ac4-acf8-175b18bf23cb,1,Category 2,Internal Connections
fc77f980-ac4a-496a-a4fd-df948e4c4dc2,1,Category 1,Data Transmission and/or Internet Access
5d532362-3c1f-4fcc-b402-26b250dd7b5a,1,Category 2,Internal Connections
17a0a9b5-f8b3-46b1-86bb-d281d940c41f,1,Category 1,Data Transmission and/or Internet Access
bfd03d17-0ba5-4b2e-b74b-f46cfe566dc7,1,Category 2,Internal Connections
c18c4974-022b-4700-9a60-0e9edb6a49b3,1,Category 1,Data Transmission and/or Internet Access
a74c9c17-ee09-47b6-98aa-1480060a6ad9,1,Category 2,Internal Connections
22183569-7ca4-49ef-933c-92efd6e3b48a,1,Category 2,Internal Connections
6aad209b-a046-48e6-aed6-0896756ded87,1,Category 2,Basic Maintenance of Internal Connections
d3f12a1a-024f-4b50-b109-d2b66aef1ce7,1,Category 1,Data Transmission and/or Internet Access
11eee4af-89dd-421b-af7d-6a3a9e1f414a,1,Category 2,Managed Internal Broadband Services
